# {"t_start": 1567529116.7353914, "env_id": "SmartHome-v1"} 
r,l,t
0.363101,144,70.569873
-22.806561,144,70.772286
0.890115,144,70.953047
1.465869,144,71.123803
1.393624,144,71.313482
1.356686,144,71.495704
-15.940502,144,71.676753
-5.945768,144,71.877002
-4.678583,144,72.086085
-1.433219,144,72.27306
-3.574048,144,72.463172
-5.801308,144,72.651948
-13.266998,144,72.86205
-13.738944,144,73.043439
-6.529029,144,73.218323
-14.721536,144,73.432836
0.951296,144,73.626311
1.20047,144,73.819986
-25.184347,144,74.022192
-42.217412,144,74.232854
-3.49765,144,74.430041
-12.252963,144,74.622385
0.163525,144,74.849001
0.695536,144,75.04955
-13.155318,144,75.244009
1.435942,144,75.439522
1.015477,144,75.658544
-1.535493,144,75.849658
-26.391105,144,76.036661
1.356063,144,76.236672
-9.300587,144,76.429424
-8.130906,144,76.611631
-8.028295,144,76.786495
-13.557223,144,76.978035
-26.788377,144,77.172937
-4.871344,144,77.368223
-17.392539,144,77.565245
-14.725377,144,77.759657
-8.816351,144,77.959384
-6.005043,144,78.155986
-3.372872,144,78.37229
-15.128844,144,78.567616
-14.796294,144,78.764928
1.278391,144,78.96935
-23.986173,144,79.185843
1.171021,144,79.392739
-22.904083,144,79.583937
-3.90798,144,79.784324
-2.395907,144,79.980691
-9.469783,144,80.175092
1.168281,144,80.371803
-25.469812,144,80.582592
-20.468489,144,80.772008
-33.562196,144,84.929592
-4.620572,144,85.127206
1.463191,144,85.314446
-22.74459,144,85.524252
-12.833789,144,85.711927
-9.011043,144,85.888597
-22.281837,144,86.082873
0.567353,144,86.272305
-38.603164,144,86.488797
-19.576032,144,86.68611
-25.823825,144,86.895597
-23.428593,144,87.090348
1.386164,144,87.283791
0.515054,144,87.504804
0.706616,144,87.700483
0.637116,144,87.897175
-15.251206,144,88.094055
0.852095,144,88.308843
0.223477,144,88.495048
-11.795758,144,88.685873
-17.944332,144,88.877182
0.907796,144,89.056069
1.120732,144,89.231369
-24.910913,144,89.408357
-26.883939,144,89.609603
-13.565873,144,89.79643
1.297393,144,89.967513
-12.740449,144,90.146147
-15.595584,144,90.342051
1.154639,144,90.528603
0.448382,144,90.708848
-28.698516,144,90.877502
-12.200495,144,91.076733
-33.671153,144,91.258098
-10.583778,144,91.449254
-11.529011,144,91.65352
0.954592,144,91.838201
0.474719,144,92.030782
-21.656066,144,92.212025
-15.354578,144,92.409864
-10.04324,144,92.594385
-11.152512,144,92.777604
-21.280977,144,92.958269
-12.543839,144,93.165688
-16.696802,144,93.345392
-6.865438,144,93.534008
-31.316807,144,93.743374
1.129583,144,93.917468
-7.469576,144,94.094247
-21.4506,144,94.277368
-8.134064,144,94.488521
-11.048375,144,94.684861
-21.78798,144,94.869375
-12.688567,144,95.046949
-11.807756,144,95.253054
-11.562956,144,95.447406
-14.192714,144,95.642772
-23.468171,144,95.848704
-20.634528,144,96.066716
-10.043104,144,96.260955
-18.815469,144,96.455672
0.480513,144,96.668256
-25.772423,144,96.860615
-7.106975,144,97.049199
-19.111782,144,97.264705
-8.553789,144,97.473403
-27.050227,144,97.671849
-5.147385,144,99.099133
-15.876674,144,99.287795
-2.671853,144,99.487113
1.762766,144,99.671547
-18.619699,144,99.857162
-3.775987,144,100.05634
-14.131559,144,100.240874
-3.76494,144,100.423362
-6.685353,144,100.606611
-9.126057,144,100.807633
-11.128936,144,100.988662
-19.076936,144,101.174804
-12.624531,144,101.356888
-8.233477,144,101.55402
-3.698602,144,101.72412
-2.994763,144,101.893011
0.611238,144,102.061599
-10.814288,144,102.25827
-7.485557,144,102.447478
1.150085,144,102.631845
-9.713491,144,102.814558
1.293689,144,103.013274
-12.980589,144,103.19889
-21.355007,144,103.396726
-14.302477,144,103.598459
1.577604,144,103.785444
-15.418752,144,103.967638
-23.462325,144,104.150958
0.420814,144,104.351684
-12.984989,144,104.533296
-18.641902,144,104.718021
-20.814663,144,104.890871
-29.097217,144,105.08724
-8.884358,144,109.20206
-13.049333,144,109.39741
-6.280193,144,109.584686
-8.354759,144,109.76612
-12.28964,144,109.966811
-0.503524,144,110.154099
-10.185245,144,110.341063
-1.948212,144,110.525125
0.393861,144,110.72673
1.303353,144,110.900707
-15.248549,144,111.070003
-7.525979,144,111.253414
-20.94385,144,111.463453
-13.160575,144,111.651809
-8.681157,144,111.849269
-6.531538,144,112.06239
-17.481574,144,112.249956
-11.187993,144,112.43547
-7.060114,144,112.618065
-11.174854,144,112.823362
-9.497336,144,113.007873
-12.363379,144,113.203863
-16.037164,144,113.389954
-3.498038,144,113.566145
-20.251833,144,113.742114
-18.424303,144,113.921289
0.399327,144,114.124615
0.915058,144,114.312008
-21.300065,144,114.497215
-31.199019,144,114.670294
-12.284087,144,114.87544
-13.381339,144,115.058568
-6.500601,144,115.244992
-9.156647,144,115.429158
1.176889,144,115.628466
-3.167176,144,115.81301
-4.806805,144,115.99568
0.354115,144,116.190995
-10.658402,144,116.374335
-3.609561,144,116.559155
0.587924,144,116.742461
-7.758664,144,116.945659
-18.986749,144,117.119602
-8.994607,144,117.2902
-19.652583,144,117.459404
-2.032805,144,117.650744
1.066743,144,117.834063
-13.842567,144,118.016054
0.990161,144,118.197495
-3.40101,144,118.415621
-8.276893,144,118.598983
-16.903,144,118.783396
-12.735362,144,118.981633
-9.729927,144,119.16321
0.525165,144,119.356361
0.369105,144,119.53654
-13.113356,144,119.729257
0.703368,144,119.916747
-4.284508,144,120.095384
-9.790346,144,120.276556
1.082017,144,120.475881
-9.249254,144,120.655098
-9.012141,144,120.83601
-13.793866,144,121.003253
-11.656115,144,121.19805
-6.235553,144,121.381038
-7.057709,144,121.561707
-11.028891,144,121.756262
-25.576764,144,121.948637
0.19415,144,122.128825
0.718079,144,122.311286
-8.521435,144,122.511077
-1.303511,144,122.694026
1.146636,144,122.876091
-12.44615,144,123.060773
-10.634521,144,123.254699
-11.147618,144,123.440852
-7.917848,144,123.619602
-14.175212,144,123.800827
-13.333702,144,124.001173
0.690432,144,124.184739
-4.672736,144,124.372541
-11.201458,144,124.541769
-12.130025,144,124.739359
1.433492,144,124.924357
-4.507574,144,125.105632
0.842688,144,125.303154
-13.108406,144,125.481434
0.350479,144,125.659615
0.708704,144,125.843311
0.000311,144,126.041298
-14.296153,144,126.219398
-12.248416,144,126.391295
-3.570458,144,126.55881
-5.660758,144,126.749914
-22.15032,144,126.92734
-15.777373,144,127.095868
-6.486874,144,127.264064
-16.412401,144,127.460547
-9.008154,144,127.630841
0.82568,144,131.467087
-6.759928,144,132.860983
0.397585,144,133.067443
0.877081,144,133.251339
-5.417907,144,133.438007
0.099311,144,133.620762
-8.80513,144,133.825027
-7.571206,144,134.011437
-8.594033,144,134.19394
-10.370963,144,134.399513
0.065222,144,134.585572
1.050204,144,134.771152
1.144566,144,134.95555
-12.562103,144,135.154983
-7.484915,144,135.341603
-12.726595,144,135.526292
-12.021436,144,135.709432
1.179356,144,135.914041
0.754281,144,136.099043
-21.077023,144,136.284333
-10.728725,144,136.484652
-14.051108,144,136.670304
-2.946577,144,136.843564
-9.295434,144,137.015093
-13.801072,144,137.202461
-8.241011,144,137.387394
-12.708033,144,137.571411
-2.924899,144,137.741675
1.329331,144,137.934828
0.66512,144,138.120263
-12.334036,144,138.303053
0.941466,144,138.477481
-10.255105,144,138.675339
-21.211907,144,138.845668
0.869766,144,139.017454
-7.919136,144,139.187161
-7.00042,144,139.394381
-10.992573,144,139.580283
-13.286594,144,139.763723
0.358954,144,139.952397
-24.826721,144,140.154078
-30.348327,144,140.337438
-27.23977,144,140.520736
-12.332047,144,140.710256
-13.512069,144,140.886017
-14.709889,144,141.057678
-10.726795,144,141.227233
-10.286719,144,141.4333
1.152139,144,141.606817
1.117337,144,141.776548
0.404658,144,141.94825
-10.20741,144,142.138554
-6.500177,144,142.322152
-16.671568,144,142.493459
-5.478427,144,142.663133
-8.853712,144,142.832041
-7.550918,144,143.002996
-17.464303,144,143.171321
-15.31334,144,143.340624
-13.321868,144,143.531839
-17.852,144,143.717573
-8.91673,144,143.90336
-2.926617,144,144.089223
-12.585932,144,144.287429
-3.868919,144,144.472489
-12.261866,144,144.654781
-4.553817,144,144.83766
-10.529944,144,145.040124
-4.824321,144,145.220452
0.230661,144,145.408861
-13.053829,144,145.605474
0.245738,144,145.787338
-19.335601,144,145.974025
-11.731614,144,146.144375
0.429816,144,146.314733
-5.594006,144,146.486038
-2.928859,144,146.654933
-10.683988,144,146.822612
-2.805639,144,147.015841
-4.492748,144,147.19463
-16.620873,144,147.37677
-15.148769,144,147.55481
-11.02008,144,147.744126
-8.524963,144,147.929841
-4.333606,144,148.100513
0.578352,144,148.270884
-24.056725,144,148.467714
-18.245893,144,148.652778
-5.383894,144,148.834776
0.921046,144,149.006443
-6.609528,144,149.202179
-1.075245,144,149.3807
0.454853,144,149.552799
1.057957,144,149.722562
0.45734,144,149.918231
-15.895146,144,150.092359
-8.454459,144,150.262469
-17.793287,144,150.45334
-16.548468,144,150.644796
-15.984246,144,150.814759
0.618217,144,154.942236
-14.57451,144,155.130779
-8.089887,144,155.319873
0.702512,144,155.518589
-1.111178,144,155.688962
-2.482275,144,155.858517
-5.127139,144,156.047639
-3.303192,144,156.247119
0.689902,144,156.429282
-4.26675,144,156.610617
-3.629484,144,156.780697
-11.496981,144,156.974948
-9.682529,144,157.146269
-4.508662,144,157.316482
-9.442119,144,157.502878
-9.963315,144,157.688864
-13.598757,144,157.878301
-11.545801,144,158.06357
-0.788075,144,158.262091
1.360562,144,158.445192
1.5485,144,158.617319
-1.454571,144,158.787418
-2.927524,144,158.980076
-0.278431,144,159.163938
-6.617573,144,159.334084
-7.038497,144,159.505673
-4.987146,144,159.699858
0.141018,144,159.885983
-2.961652,144,160.071916
-8.698739,144,160.255765
-0.075175,144,160.4563
-9.977875,144,160.627279
-7.029187,144,160.796977
-6.977815,144,160.96682
-8.4293,144,161.167119
-9.888031,144,161.361178
-0.166185,144,161.543908
1.231479,144,161.741093
-2.950135,144,161.93111
-9.553178,144,162.127821
0.420775,144,162.305933
-5.634075,144,162.510523
-10.829291,144,162.703938
-7.54969,144,164.262524
-10.016937,144,164.460549
-3.934487,144,164.675762
-9.615585,144,164.871934
-6.021046,144,165.070559
-3.735118,144,165.27598
-6.876461,144,165.462802
-4.645548,144,165.652055
-1.668188,144,165.839219
-10.011331,144,166.024415
0.105122,144,166.209346
-0.840343,144,166.395592
-2.205902,144,166.579392
-5.619248,144,166.781107
-6.981049,144,166.969214
1.142119,144,167.156367
-10.020742,144,167.363668
-4.793661,144,167.561477
-11.263535,144,167.759973
1.113485,144,167.958708
-3.997138,144,168.173189
-11.534967,144,168.36375
-2.932967,144,168.545163
-4.937402,144,168.741892
-4.943369,144,168.918361
-10.264944,144,169.089161
-4.438809,144,169.259916
-1.478644,144,169.453204
0.141371,144,169.629591
-2.902482,144,169.801066
-15.812443,144,169.973863
-1.496971,144,170.169529
-4.962572,144,170.360104
-1.129237,144,170.5457
-9.62854,144,170.716838
1.204556,144,170.911708
0.750146,144,171.098798
-5.52098,144,171.27035
-5.275367,144,171.524516
0.445639,144,171.719256
0.434248,144,171.992723
-4.723044,144,172.195036
-15.455227,144,172.42714
-12.841094,144,172.639467
-1.742205,144,172.847597
-3.630715,144,173.053885
-2.948415,144,173.246272
-3.854462,144,173.452482
-10.833332,144,173.660349
-13.625181,144,173.855385
-7.675158,144,174.063303
0.890429,144,174.253064
0.102839,144,174.458782
-9.818307,144,174.663477
-6.271471,144,174.87468
-8.646246,144,175.098089
-3.717902,144,175.300901
-14.549903,144,179.948746
-2.672221,144,180.13571
-6.100332,144,180.324571
-9.616098,144,180.531943
0.496032,144,180.760404
-6.266382,144,180.962977
-16.629799,144,181.171161
-10.230198,144,181.392986
-5.640531,144,181.59036
-7.189759,144,181.785661
-8.811248,144,181.968941
-10.36492,144,182.170808
-7.599821,144,182.361278
-8.310247,144,182.546506
1.452106,144,182.752064
0.856179,144,182.937934
-12.829492,144,183.123723
-14.990544,144,183.338186
-20.289458,144,183.54763
-15.878437,144,183.741845
-2.623347,144,183.9305
-3.177807,144,184.11424
1.193773,144,184.31459
0.487511,144,184.499948
-7.257979,144,184.688348
-7.558197,144,184.896225
-11.232162,144,185.083094
-11.905121,144,185.271758
-2.524618,144,185.457259
-10.263743,144,185.66191
-5.537025,144,185.852753
-12.040445,144,186.043525
-13.397847,144,186.21959
-19.227287,144,186.391957
-10.540386,144,186.56678
-19.346051,144,186.736786
-3.749969,144,186.907933
-3.732992,144,187.1093
-19.335441,144,187.29456
0.926626,144,187.485452
-12.575557,144,187.688388
-2.916434,144,187.886309
-7.871125,144,188.071872
-12.889565,144,188.256779
-16.348051,144,188.459109
-3.42862,144,188.647373
-8.22988,144,188.820519
-19.824122,144,188.992102
0.282502,144,189.193553
-11.074063,144,189.365359
-12.598384,144,189.540667
-2.635406,144,189.739557
0.131087,144,189.933715
-7.482873,144,190.118226
-12.605101,144,190.326244
-2.854997,144,190.539997
-11.089628,144,190.80416
-6.535124,144,191.011412
-4.198551,144,191.215685
-5.910767,144,191.416734
-11.599922,144,191.605922
-16.304841,144,191.787068
-7.467253,144,191.984805
-11.623552,144,192.186635
0.527866,144,192.376005
-16.04683,144,192.565757
-5.283569,144,192.747007
0.254093,144,192.918641
-13.691584,144,193.096734
-6.187378,144,193.303977
-12.335627,144,193.482646
-3.641208,144,193.655433
-17.315495,144,193.826171
0.958099,144,194.019914
-19.968919,144,194.190594
0.969466,144,195.479394
0.190077,144,195.659393
-19.721549,144,195.829537
-4.787439,144,195.998738
-1.784902,144,196.197539
-0.663515,144,196.371934
-17.821279,144,196.542056
-10.646662,144,196.712899
-10.798249,144,196.906549
-14.671133,144,197.092292
-13.608582,144,197.277136
-10.529589,144,197.466463
0.029252,144,197.646569
-3.363901,144,197.815968
-8.976821,144,197.986154
-16.86374,144,198.181962
-6.177204,144,198.364298
-8.922817,144,198.535388
-11.972389,144,198.706781
-6.987101,144,198.896764
1.091072,144,199.085532
-2.514135,144,199.266958
-12.291445,144,199.437571
-4.149135,144,199.631991
0.359497,144,199.818341
-4.553059,144,203.892147
-12.46687,144,204.086265
0.46585,144,204.276936
-3.479976,144,204.478563
-0.231284,144,204.668443
-4.048081,144,204.839482
-1.552614,144,205.094124
-13.190588,144,205.300839
-2.937634,144,205.524627
1.289197,144,205.736296
1.379213,144,205.956532
-5.109304,144,206.164837
-7.371257,144,206.370176
-25.519966,144,206.591094
0.369649,144,206.790078
-7.199157,144,206.974015
-2.913201,144,207.171937
-6.559346,144,207.400128
-10.768999,144,207.603131
-9.760953,144,207.783173
