DATE,HOUR,PRICE
01/01/2018,01,0.033410
01/01/2018,02,0.033940
01/01/2018,03,0.033510
01/01/2018,04,0.033440
01/01/2018,05,0.033780
01/01/2018,06,0.034870
01/01/2018,07,0.044550
01/01/2018,08,0.045510
01/01/2018,09,0.049160
01/01/2018,10,0.048070
01/01/2018,11,0.044040
01/01/2018,12,0.042040
01/01/2018,13,0.038620
01/01/2018,14,0.035260
01/01/2018,15,0.033690
01/01/2018,16,0.035160
01/01/2018,17,0.044830
01/01/2018,18,0.064080
01/01/2018,19,0.057000
01/01/2018,20,0.053300
01/01/2018,21,0.048080
01/01/2018,22,0.049050
01/01/2018,23,0.042560
01/01/2018,24,0.045590
01/02/2018,01,0.041810
01/02/2018,02,0.041300
01/02/2018,03,0.042900
01/02/2018,04,0.046910
01/02/2018,05,0.048740
01/02/2018,06,0.053960
01/02/2018,07,0.089230
01/02/2018,08,0.079160
01/02/2018,09,0.075570
01/02/2018,10,0.062880
01/02/2018,11,0.055780
01/02/2018,12,0.048620
01/02/2018,13,0.039900
01/02/2018,14,0.034210
01/02/2018,15,0.032420
01/02/2018,16,0.032810
01/02/2018,17,0.046450
01/02/2018,18,0.073020
01/02/2018,19,0.062190
01/02/2018,20,0.057910
01/02/2018,21,0.051170
01/02/2018,22,0.046960
01/02/2018,23,0.033730
01/02/2018,24,0.034400
01/03/2018,01,0.032060
01/03/2018,02,0.032520
01/03/2018,03,0.032780
01/03/2018,04,0.035010
01/03/2018,05,0.039460
01/03/2018,06,0.053630
01/03/2018,07,0.081970
01/03/2018,08,0.077240
01/03/2018,09,0.072410
01/03/2018,10,0.066140
01/03/2018,11,0.061310
01/03/2018,12,0.056860
01/03/2018,13,0.053120
01/03/2018,14,0.048880
01/03/2018,15,0.045930
01/03/2018,16,0.049600
01/03/2018,17,0.073500
01/03/2018,18,0.101390
01/03/2018,19,0.084120
01/03/2018,20,0.072180
01/03/2018,21,0.070340
01/03/2018,22,0.072860
01/03/2018,23,0.058180
01/03/2018,24,0.061740
01/04/2018,01,0.058130
01/04/2018,02,0.057240
01/04/2018,03,0.058990
01/04/2018,04,0.060370
01/04/2018,05,0.066930
01/04/2018,06,0.084120
01/04/2018,07,0.123300
01/04/2018,08,0.107960
01/04/2018,09,0.101350
01/04/2018,10,0.096750
01/04/2018,11,0.088420
01/04/2018,12,0.083870
01/04/2018,13,0.074690
01/04/2018,14,0.068720
01/04/2018,15,0.066250
01/04/2018,16,0.067760
01/04/2018,17,0.091850
01/04/2018,18,0.127690
01/04/2018,19,0.113910
01/04/2018,20,0.100510
01/04/2018,21,0.096220
01/04/2018,22,0.103460
01/04/2018,23,0.079370
01/04/2018,24,0.087100
01/05/2018,01,0.072650
01/05/2018,02,0.068930
01/05/2018,03,0.069790
01/05/2018,04,0.070390
01/05/2018,05,0.078430
01/05/2018,06,0.103890
01/05/2018,07,0.142610
01/05/2018,08,0.123140
01/05/2018,09,0.120080
01/05/2018,10,0.111630
01/05/2018,11,0.105210
01/05/2018,12,0.101060
01/05/2018,13,0.095370
01/05/2018,14,0.085850
01/05/2018,15,0.080790
01/05/2018,16,0.078840
01/05/2018,17,0.106820
01/05/2018,18,0.131770
01/05/2018,19,0.116920
01/05/2018,20,0.109200
01/05/2018,21,0.102170
01/05/2018,22,0.100410
01/05/2018,23,0.085390
01/05/2018,24,0.066460
01/06/2018,01,0.053790
01/06/2018,02,0.050330
01/06/2018,03,0.050010
01/06/2018,04,0.047350
01/06/2018,05,0.048160
01/06/2018,06,0.053880
01/06/2018,07,0.056090
01/06/2018,08,0.055340
01/06/2018,09,0.061230
01/06/2018,10,0.051420
01/06/2018,11,0.044920
01/06/2018,12,0.040050
01/06/2018,13,0.037220
01/06/2018,14,0.034190
01/06/2018,15,0.031570
01/06/2018,16,0.031960
01/06/2018,17,0.038990
01/06/2018,18,0.050830
01/06/2018,19,0.043370
01/06/2018,20,0.038950
01/06/2018,21,0.036080
01/06/2018,22,0.038410
01/06/2018,23,0.031920
01/06/2018,24,0.034710
01/07/2018,01,0.030760
01/07/2018,02,0.029140
01/07/2018,03,0.028040
01/07/2018,04,0.026260
01/07/2018,05,0.025290
01/07/2018,06,0.027170
01/07/2018,07,0.027600
01/07/2018,08,0.026580
01/07/2018,09,0.027250
01/07/2018,10,0.027510
01/07/2018,11,0.026510
01/07/2018,12,0.025510
01/07/2018,13,0.025540
01/07/2018,14,0.025160
01/07/2018,15,0.024400
01/07/2018,16,0.025360
01/07/2018,17,0.032970
01/07/2018,18,0.040280
01/07/2018,19,0.031690
01/07/2018,20,0.029660
01/07/2018,21,0.026730
01/07/2018,22,0.027290
01/07/2018,23,0.025080
01/07/2018,24,0.022660
01/08/2018,01,0.022150
01/08/2018,02,0.022090
01/08/2018,03,0.022630
01/08/2018,04,0.022470
01/08/2018,05,0.024800
01/08/2018,06,0.028630
01/08/2018,07,0.036120
01/08/2018,08,0.033800
01/08/2018,09,0.033430
01/08/2018,10,0.033630
01/08/2018,11,0.032690
01/08/2018,12,0.030430
01/08/2018,13,0.029750
01/08/2018,14,0.028000
01/08/2018,15,0.027240
01/08/2018,16,0.027910
01/08/2018,17,0.035060
01/08/2018,18,0.047100
01/08/2018,19,0.037890
01/08/2018,20,0.035920
01/08/2018,21,0.034100
01/08/2018,22,0.030330
01/08/2018,23,0.026830
01/08/2018,24,0.023930
01/09/2018,01,0.023070
01/09/2018,02,0.022820
01/09/2018,03,0.022960
01/09/2018,04,0.022870
01/09/2018,05,0.024990
01/09/2018,06,0.028120
01/09/2018,07,0.036960
01/09/2018,08,0.032680
01/09/2018,09,0.030920
01/09/2018,10,0.031150
01/09/2018,11,0.029360
01/09/2018,12,0.027780
01/09/2018,13,0.027210
01/09/2018,14,0.026490
01/09/2018,15,0.026070
01/09/2018,16,0.026440
01/09/2018,17,0.030220
01/09/2018,18,0.035330
01/09/2018,19,0.031170
01/09/2018,20,0.028530
01/09/2018,21,0.025760
01/09/2018,22,0.023430
01/09/2018,23,0.022340
01/09/2018,24,0.023900
01/10/2018,01,0.023450
01/10/2018,02,0.022970
01/10/2018,03,0.022700
01/10/2018,04,0.022870
01/10/2018,05,0.023320
01/10/2018,06,0.027700
01/10/2018,07,0.034340
01/10/2018,08,0.030650
01/10/2018,09,0.028710
01/10/2018,10,0.030400
01/10/2018,11,0.029050
01/10/2018,12,0.026590
01/10/2018,13,0.025880
01/10/2018,14,0.025020
01/10/2018,15,0.024760
01/10/2018,16,0.024820
01/10/2018,17,0.030060
01/10/2018,18,0.032850
01/10/2018,19,0.029110
01/10/2018,20,0.026700
01/10/2018,21,0.025280
01/10/2018,22,0.023350
01/10/2018,23,0.023240
01/10/2018,24,0.020350
01/11/2018,01,0.019480
01/11/2018,02,0.018670
01/11/2018,03,0.018500
01/11/2018,04,0.018390
01/11/2018,05,0.019330
01/11/2018,06,0.023990
01/11/2018,07,0.028160
01/11/2018,08,0.026730
01/11/2018,09,0.026730
01/11/2018,10,0.027440
01/11/2018,11,0.026320
01/11/2018,12,0.025290
01/11/2018,13,0.025220
01/11/2018,14,0.024920
01/11/2018,15,0.024600
01/11/2018,16,0.025210
01/11/2018,17,0.029750
01/11/2018,18,0.031160
01/11/2018,19,0.029470
01/11/2018,20,0.027960
01/11/2018,21,0.025690
01/11/2018,22,0.023750
01/11/2018,23,0.023740
01/11/2018,24,0.022240
01/12/2018,01,0.021090
01/12/2018,02,0.021520
01/12/2018,03,0.021260
01/12/2018,04,0.022030
01/12/2018,05,0.022280
01/12/2018,06,0.026370
01/12/2018,07,0.034270
01/12/2018,08,0.034740
01/12/2018,09,0.034530
01/12/2018,10,0.034220
01/12/2018,11,0.033080
01/12/2018,12,0.030980
01/12/2018,13,0.029240
01/12/2018,14,0.027920
01/12/2018,15,0.027170
01/12/2018,16,0.027470
01/12/2018,17,0.032190
01/12/2018,18,0.038880
01/12/2018,19,0.034820
01/12/2018,20,0.034380
01/12/2018,21,0.030630
01/12/2018,22,0.028310
01/12/2018,23,0.027400
01/12/2018,24,0.030540
01/13/2018,01,0.028970
01/13/2018,02,0.028440
01/13/2018,03,0.027560
01/13/2018,04,0.026640
01/13/2018,05,0.029690
01/13/2018,06,0.032150
01/13/2018,07,0.040580
01/13/2018,08,0.042200
01/13/2018,09,0.047150
01/13/2018,10,0.048970
01/13/2018,11,0.045730
01/13/2018,12,0.041340
01/13/2018,13,0.037750
01/13/2018,14,0.034770
01/13/2018,15,0.032810
01/13/2018,16,0.034670
01/13/2018,17,0.044830
01/13/2018,18,0.064560
01/13/2018,19,0.054510
01/13/2018,20,0.047320
01/13/2018,21,0.043360
01/13/2018,22,0.040260
01/13/2018,23,0.037150
01/13/2018,24,0.033490
01/14/2018,01,0.032460
01/14/2018,02,0.032280
01/14/2018,03,0.032790
01/14/2018,04,0.029330
01/14/2018,05,0.030870
01/14/2018,06,0.032440
01/14/2018,07,0.036730
01/14/2018,08,0.036280
01/14/2018,09,0.036500
01/14/2018,10,0.036590
01/14/2018,11,0.033810
01/14/2018,12,0.031700
01/14/2018,13,0.029630
01/14/2018,14,0.028620
01/14/2018,15,0.027630
01/14/2018,16,0.028070
01/14/2018,17,0.035780
01/14/2018,18,0.047160
01/14/2018,19,0.038680
01/14/2018,20,0.035540
01/14/2018,21,0.033270
01/14/2018,22,0.030430
01/14/2018,23,0.028160
01/14/2018,24,0.030790
01/15/2018,01,0.028600
01/15/2018,02,0.028730
01/15/2018,03,0.028910
01/15/2018,04,0.030460
01/15/2018,05,0.033230
01/15/2018,06,0.037250
01/15/2018,07,0.046530
01/15/2018,08,0.052590
01/15/2018,09,0.052210
01/15/2018,10,0.048780
01/15/2018,11,0.046920
01/15/2018,12,0.041720
01/15/2018,13,0.037950
01/15/2018,14,0.034680
01/15/2018,15,0.034030
01/15/2018,16,0.034760
01/15/2018,17,0.044760
01/15/2018,18,0.063820
01/15/2018,19,0.055440
01/15/2018,20,0.049230
01/15/2018,21,0.044560
01/15/2018,22,0.040130
01/15/2018,23,0.034170
01/15/2018,24,0.029060
01/16/2018,01,0.028730
01/16/2018,02,0.028030
01/16/2018,03,0.028990
01/16/2018,04,0.027990
01/16/2018,05,0.031040
01/16/2018,06,0.042720
01/16/2018,07,0.057560
01/16/2018,08,0.061480
01/16/2018,09,0.057650
01/16/2018,10,0.053880
01/16/2018,11,0.050940
01/16/2018,12,0.046760
01/16/2018,13,0.042640
01/16/2018,14,0.039480
01/16/2018,15,0.037830
01/16/2018,16,0.041080
01/16/2018,17,0.053980
01/16/2018,18,0.075460
01/16/2018,19,0.065170
01/16/2018,20,0.057630
01/16/2018,21,0.051740
01/16/2018,22,0.046120
01/16/2018,23,0.040310
01/16/2018,24,0.040080
01/17/2018,01,0.037250
01/17/2018,02,0.036280
01/17/2018,03,0.039440
01/17/2018,04,0.039350
01/17/2018,05,0.039800
01/17/2018,06,0.046910
01/17/2018,07,0.076470
01/17/2018,08,0.071750
01/17/2018,09,0.062580
01/17/2018,10,0.054060
01/17/2018,11,0.046390
01/17/2018,12,0.039930
01/17/2018,13,0.035140
01/17/2018,14,0.032190
01/17/2018,15,0.030090
01/17/2018,16,0.030180
01/17/2018,17,0.040480
01/17/2018,18,0.055910
01/17/2018,19,0.051470
01/17/2018,20,0.046160
01/17/2018,21,0.041340
01/17/2018,22,0.032830
01/17/2018,23,0.028030
01/17/2018,24,0.035850
01/18/2018,01,0.033730
01/18/2018,02,0.033810
01/18/2018,03,0.036250
01/18/2018,04,0.036100
01/18/2018,05,0.039290
01/18/2018,06,0.047340
01/18/2018,07,0.070920
01/18/2018,08,0.053770
01/18/2018,09,0.053180
01/18/2018,10,0.040960
01/18/2018,11,0.036590
01/18/2018,12,0.030520
01/18/2018,13,0.028450
01/18/2018,14,0.026520
01/18/2018,15,0.024210
01/18/2018,16,0.024410
01/18/2018,17,0.032870
01/18/2018,18,0.041340
01/18/2018,19,0.038560
01/18/2018,20,0.035880
01/18/2018,21,0.030830
01/18/2018,22,0.030230
01/18/2018,23,0.027640
01/18/2018,24,0.022170
01/19/2018,01,0.020620
01/19/2018,02,0.020440
01/19/2018,03,0.020840
01/19/2018,04,0.021370
01/19/2018,05,0.022910
01/19/2018,06,0.029510
01/19/2018,07,0.047530
01/19/2018,08,0.037210
01/19/2018,09,0.031450
01/19/2018,10,0.030090
01/19/2018,11,0.028560
01/19/2018,12,0.025500
01/19/2018,13,0.023230
01/19/2018,14,0.022050
01/19/2018,15,0.021050
01/19/2018,16,0.021580
01/19/2018,17,0.025040
01/19/2018,18,0.029590
01/19/2018,19,0.027650
01/19/2018,20,0.025910
01/19/2018,21,0.023620
01/19/2018,22,0.021660
01/19/2018,23,0.019780
01/19/2018,24,0.021940
01/20/2018,01,0.021510
01/20/2018,02,0.021460
01/20/2018,03,0.021510
01/20/2018,04,0.021310
01/20/2018,05,0.021000
01/20/2018,06,0.023220
01/20/2018,07,0.026780
01/20/2018,08,0.027110
01/20/2018,09,0.029640
01/20/2018,10,0.029770
01/20/2018,11,0.027500
01/20/2018,12,0.024630
01/20/2018,13,0.023450
01/20/2018,14,0.022730
01/20/2018,15,0.021920
01/20/2018,16,0.022540
01/20/2018,17,0.027260
01/20/2018,18,0.032370
01/20/2018,19,0.029880
01/20/2018,20,0.026630
01/20/2018,21,0.023980
01/20/2018,22,0.023010
01/20/2018,23,0.021720
01/20/2018,24,0.021010
01/21/2018,01,0.020630
01/21/2018,02,0.020420
01/21/2018,03,0.020410
01/21/2018,04,0.020470
01/21/2018,05,0.020250
01/21/2018,06,0.020680
01/21/2018,07,0.021910
01/21/2018,08,0.022910
01/21/2018,09,0.024760
01/21/2018,10,0.024940
01/21/2018,11,0.024120
01/21/2018,12,0.023580
01/21/2018,13,0.022970
01/21/2018,14,0.022420
01/21/2018,15,0.022240
01/21/2018,16,0.022620
01/21/2018,17,0.025950
01/21/2018,18,0.029830
01/21/2018,19,0.028090
01/21/2018,20,0.025720
01/21/2018,21,0.023210
01/21/2018,22,0.022090
01/21/2018,23,0.020620
01/21/2018,24,0.019280
01/22/2018,01,0.018530
01/22/2018,02,0.018040
01/22/2018,03,0.017960
01/22/2018,04,0.018080
01/22/2018,05,0.019080
01/22/2018,06,0.021380
01/22/2018,07,0.027200
01/22/2018,08,0.025690
01/22/2018,09,0.025490
01/22/2018,10,0.025370
01/22/2018,11,0.025240
01/22/2018,12,0.024390
01/22/2018,13,0.023110
01/22/2018,14,0.023060
01/22/2018,15,0.022730
01/22/2018,16,0.022930
01/22/2018,17,0.026970
01/22/2018,18,0.031930
