DATE,HOUR,PRICE
01/09/2017,8,0.04263
01/09/2017,9,0.03921
01/09/2017,10,0.03764
01/09/2017,11,0.0348
01/09/2017,12,0.03207
01/09/2017,13,0.03119
01/09/2017,14,0.02844
01/09/2017,15,0.0273
01/09/2017,16,0.02844
01/09/2017,17,0.03859
01/09/2017,18,0.04265
01/09/2017,19,0.03888
01/09/2017,20,0.03473
01/09/2017,21,0.03021
01/09/2017,22,0.02741
01/09/2017,23,0.02517
01/09/2017,24,0.02226
01/10/2017,1,0.02163
01/10/2017,2,0.02148
01/10/2017,3,0.0213
01/10/2017,4,0.02161
01/10/2017,5,0.02204
01/10/2017,6,0.02527
01/10/2017,7,0.03323
01/10/2017,8,0.0304
01/10/2017,9,0.02847
01/10/2017,10,0.02782
01/10/2017,11,0.02669
01/10/2017,12,0.02524
01/10/2017,13,0.0243
01/10/2017,14,0.02352
01/10/2017,15,0.02309
01/10/2017,16,0.02388
01/10/2017,17,0.02905
01/10/2017,18,0.03238
01/10/2017,19,0.03139
01/10/2017,20,0.02894
01/10/2017,21,0.02532
01/10/2017,22,0.02385
01/10/2017,23,0.02213
01/10/2017,24,0.02204
01/11/2017,1,0.02074
01/11/2017,2,0.02107
01/11/2017,3,0.02113
01/11/2017,4,0.022
01/11/2017,5,0.02387
01/11/2017,6,0.02881
01/11/2017,7,0.03472
01/11/2017,8,0.02982
01/11/2017,9,0.02728
01/11/2017,10,0.02589
01/11/2017,11,0.02489
01/11/2017,12,0.02445
01/11/2017,13,0.02413
01/11/2017,14,0.02386
01/11/2017,15,0.0236
01/11/2017,16,0.02407
01/11/2017,17,0.03108
01/11/2017,18,0.03235
01/11/2017,19,0.03051
01/11/2017,20,0.0287
01/11/2017,21,0.02488
01/11/2017,22,0.02321
01/11/2017,23,0.02275
01/11/2017,24,0.02345
01/12/2017,1,0.02228
01/12/2017,2,0.02175
01/12/2017,3,0.02152
01/12/2017,4,0.02185
01/12/2017,5,0.02332
01/12/2017,6,0.02967
01/12/2017,7,0.03799
01/12/2017,8,0.03315
01/12/2017,9,0.03207
01/12/2017,10,0.03084
01/12/2017,11,0.02991
01/12/2017,12,0.02845
01/12/2017,13,0.02796
01/12/2017,14,0.02763
01/12/2017,15,0.02754
01/12/2017,16,0.02814
01/12/2017,17,0.03678
01/12/2017,18,0.04061
01/12/2017,19,0.03881
01/12/2017,20,0.03707
01/12/2017,21,0.03142
01/12/2017,22,0.02745
01/12/2017,23,0.02576
01/12/2017,24,0.02409
01/13/2017,1,0.02298
01/13/2017,2,0.02268
01/13/2017,3,0.02246
01/13/2017,4,0.02312
01/13/2017,5,0.02461
01/13/2017,6,0.03304
01/13/2017,7,0.0461
01/13/2017,8,0.03999
01/13/2017,9,0.03829
01/13/2017,10,0.03742
01/13/2017,11,0.03498
01/13/2017,12,0.03247
01/13/2017,13,0.03139
01/13/2017,14,0.02987
01/13/2017,15,0.02954
01/13/2017,16,0.03034
01/13/2017,17,0.03903
01/13/2017,18,0.04196
01/13/2017,19,0.03781
01/13/2017,20,0.03604
01/13/2017,21,0.02975
01/13/2017,22,0.0267
01/13/2017,23,0.02558
01/13/2017,24,0.02463
01/14/2017,1,0.02361
01/14/2017,2,0.02311
01/14/2017,3,0.02313
01/14/2017,4,0.02323
01/14/2017,5,0.02356
01/14/2017,6,0.02531
01/14/2017,7,0.03177
01/14/2017,8,0.03217
01/14/2017,9,0.0336
01/14/2017,10,0.03382
01/14/2017,11,0.03197
01/14/2017,12,0.0299
01/14/2017,13,0.02797
01/14/2017,14,0.02669
01/14/2017,15,0.02578
01/14/2017,16,0.02708
01/14/2017,17,0.03542
01/14/2017,18,0.03758
01/14/2017,19,0.03384
01/14/2017,20,0.03308
01/14/2017,21,0.02948
01/14/2017,22,0.02627
01/14/2017,23,0.02476
01/14/2017,24,0.02334
01/15/2017,1,0.02268
01/15/2017,2,0.02299
01/15/2017,3,0.02244
01/15/2017,4,0.02224
01/15/2017,5,0.02205
01/15/2017,6,0.02233
01/15/2017,7,0.02565
01/15/2017,8,0.02664
01/15/2017,9,0.02791
01/15/2017,10,0.02848
01/15/2017,11,0.02808
01/15/2017,12,0.02779
01/15/2017,13,0.02677
01/15/2017,14,0.02603
01/15/2017,15,0.02517
01/15/2017,16,0.02626
01/15/2017,17,0.03374
01/15/2017,18,0.03885
01/15/2017,19,0.0342
01/15/2017,20,0.033
01/15/2017,21,0.02902
01/15/2017,22,0.02545
01/15/2017,23,0.02338
01/15/2017,24,0.02295
01/16/2017,1,0.02256
01/16/2017,2,0.02248
01/16/2017,3,0.02257
01/16/2017,4,0.02278
01/16/2017,5,0.02283
01/16/2017,6,0.02568
01/16/2017,7,0.03278
01/16/2017,8,0.03225
01/16/2017,9,0.03327
01/16/2017,10,0.03386
01/16/2017,11,0.03343
01/16/2017,12,0.03198
01/16/2017,13,0.03084
01/16/2017,14,0.02986
01/16/2017,15,0.02813
01/16/2017,16,0.0284
