# {"t_start": 1562337504.3660805, "env_id": "EVCharging-v2"} 
r,l,t
-0.705932,14,39.108126
-0.588667,13,39.155424
-0.497247,15,39.216221
-0.637391,13,39.262451
-0.570614,15,39.313043
-0.61472,12,39.380413
-0.67903,13,39.441728
-0.721478,16,39.942611
-0.632483,14,39.988567
-0.665704,14,40.039137
-0.86533,15,40.092912
-0.634158,14,40.164189
-0.77387,13,40.210576
-0.714253,14,40.259396
-0.814001,14,40.760573
-0.909914,12,40.801629
-0.743359,11,40.839919
-0.83608,14,40.889352
-0.883917,15,40.941525
-0.609458,15,40.99151
-0.761969,15,41.040541
-0.625791,11,41.082308
-1.156468,15,41.585191
-1.050894,14,41.635193
-1.234292,14,41.683997
-0.963954,15,41.745849
-1.143287,14,41.80318
-0.921688,14,41.859838
-0.988828,16,41.918285
-1.089186,13,42.409965
-0.888173,14,42.459439
-1.393182,14,42.50602
-1.167936,15,42.554189
-1.353758,14,42.60964
-1.324964,16,42.665464
-1.231038,14,42.735263
-0.833297,14,43.224286
-0.768996,14,43.282535
-0.876001,14,43.330224
-0.823092,15,43.378922
-0.926673,15,43.431013
-0.963697,14,43.47849
-0.73027,14,43.524964
-1.451614,14,44.048844
-1.362923,13,44.100518
-1.600882,14,44.14858
-1.268252,15,44.199878
-1.195656,17,44.259098
-1.311144,13,44.302483
-1.190639,16,44.354545
-1.329974,17,44.898659
-1.067909,13,44.954087
-1.195448,15,45.004652
-0.790393,16,45.058914
-1.252914,15,45.115963
-1.135604,13,45.162744
-1.027818,15,45.662246
-1.15389,12,45.706547
-0.838806,13,45.749514
-0.883249,13,45.792806
-1.107898,14,45.838888
-0.916312,15,45.889474
-1.039206,14,45.939015
-0.883743,15,45.988693
-0.954081,14,46.489715
-1.1001,15,46.538826
-0.833528,16,46.593334
-1.061133,16,46.648694
-1.394171,15,46.699108
-0.880501,11,46.738168
-1.392206,13,46.78199
-1.347773,15,47.341636
-1.015435,14,47.390163
-1.144643,13,47.436536
-1.159046,14,47.483206
-1.1397,15,47.531858
-1.082523,14,47.624081
-1.255914,13,47.675179
-1.406927,13,48.185521
-2.080692,15,48.235796
-2.148839,15,48.284677
-2.030678,14,48.331158
-2.383311,15,48.38367
-2.283287,14,48.437968
-2.436794,14,48.507805
-1.406544,12,49.222475
-0.59412,12,49.265763
-0.942357,14,49.320085
-0.887208,15,49.394728
-0.320527,15,49.44913
-0.84727,15,49.556736
-0.76305,16,49.678342
-0.603397,14,50.235608
-0.515939,15,50.303963
-0.955166,15,50.374742
-0.741283,13,50.465236
-0.890403,15,50.534962
-0.561469,14,50.596764
-0.844204,13,50.662459
-0.825226,14,51.316246
-0.864667,15,51.390305
-0.867468,11,51.435944
-1.16267,13,51.481115
-0.89639,15,51.531601
-0.813627,13,51.576782
-1.044446,13,51.621743
-0.738995,16,52.170762
-1.24557,15,52.287161
-0.877221,14,52.355441
-0.821555,12,52.413775
-1.270815,16,52.469526
-1.022641,13,52.514772
-1.366029,14,52.569182
-0.337832,13,53.113695
-0.325375,12,53.179349
-0.770648,13,53.227572
-0.456267,13,53.275614
-0.594455,15,53.345034
-0.575437,14,53.433613
-0.463842,13,53.503708
-0.486337,11,53.562508
-0.873383,12,54.11835
-0.67672,15,54.169135
-0.759483,15,54.219419
-0.409064,14,54.266657
-0.585147,11,54.306863
-0.723961,16,54.359856
-0.255494,13,54.428684
-0.731786,17,55.224028
-0.233674,14,55.310414
-0.577289,11,55.378583
-0.594865,15,55.456185
-0.787289,16,55.536505
-0.726226,12,55.599872
-0.653918,13,55.66072
-0.603712,12,55.71576
-1.714343,13,56.358101
-2.296032,12,56.404982
-2.392152,13,56.452356
-2.043746,12,56.494549
-3.024322,17,56.550366
-2.279337,14,56.598367
-3.385813,15,56.652444
-2.003111,13,57.15368
-1.026712,12,57.196798
-0.89151,15,57.30569
-0.844219,13,57.404021
-0.762594,14,57.520181
-0.689249,14,57.601971
-0.839356,16,57.669294
-0.947949,13,58.279002
-0.893234,13,58.354722
-0.912393,16,58.420016
-0.790521,13,58.471006
-0.452845,14,58.527595
-0.747986,14,58.583971
-0.606172,16,58.639244
-0.797916,12,59.145531
-0.993883,14,59.191914
-0.909672,15,59.242439
-0.823443,12,59.283831
-1.145833,15,59.332841
-1.219053,12,59.378619
-0.860119,15,59.468872
-1.389515,16,59.982924
-1.226957,14,60.030182
-1.370266,17,60.084363
-1.090518,12,60.12489
-1.277554,14,60.170398
-1.388728,15,60.219574
-1.390502,14,60.278029
-1.071782,13,60.323832
-0.560955,15,60.812905
-1.220282,16,60.865478
-1.681663,15,60.922053
-1.413785,14,60.970032
-0.724973,12,61.012831
-1.328761,14,61.059731
-0.64212,16,62.169421
-0.815402,13,62.216904
-0.735665,16,62.273515
-0.578512,12,62.317317
-0.909944,13,62.362724
-0.691654,15,62.41762
-0.638354,13,62.466171
-0.759249,14,62.514556
-1.263776,12,63.160606
-0.865329,13,63.233773
-0.839596,12,63.295388
-0.760196,14,63.399247
-0.92271,16,63.478508
-0.863797,15,63.529181
-1.166647,12,63.57377
-1.40748,15,64.138925
-1.425149,14,64.216147
-1.295324,15,64.299132
-1.687229,13,64.349357
-1.397965,15,64.409482
-1.333879,14,64.458601
-1.446672,14,64.505464
-0.874714,12,65.046577
-0.599392,15,65.10175
-0.9978,13,65.151834
-0.842175,15,65.205254
-1.050465,14,65.256917
-0.871487,15,65.309819
-0.709957,14,65.359399
-1.105193,15,65.905556
-0.979939,13,66.013916
-1.209686,14,66.099832
-1.079658,15,66.151738
-0.772456,14,66.202251
-1.070266,12,66.285806
-0.909918,14,66.409561
-0.726278,11,66.522288
-0.778443,13,67.469587
-0.613535,13,67.537559
-0.661372,13,67.605814
-0.846169,11,67.677689
-0.681034,15,67.757155
-0.806233,15,67.836216
-0.888375,15,67.926815
-1.334709,15,68.650012
-1.14731,16,68.709695
-1.094869,15,68.767947
-1.072042,14,68.813205
-1.187148,14,68.862588
-1.007629,12,68.905574
-1.149822,14,68.951617
-0.645275,13,69.340261
-0.782136,15,69.392621
-2.325128,14,69.443334
-0.580476,14,69.491514
-0.631125,12,69.536561
-0.813188,15,69.586469
-0.608357,12,69.628842
-0.871152,13,70.022173
-0.583247,14,70.068728
-0.673382,11,70.106153
-0.92014,16,70.154321
-0.77935,16,70.203237
-0.827912,14,70.247325
-0.742233,14,70.301068
-0.786595,12,70.360802
-0.760582,11,70.76
-0.960991,13,70.810142
-0.84125,15,70.860883
-0.706542,15,70.912315
-0.786725,13,70.954219
-0.973804,16,71.003236
-0.604934,15,71.050673
-0.961666,15,71.465847
-0.90873,14,71.523246
-1.126659,13,71.575936
-0.994848,13,71.624974
-1.016039,12,71.664154
-1.043851,15,71.711059
-1.131709,15,71.757
-0.843702,14,72.1996
-0.931133,16,72.249398
-1.100742,13,72.289457
-1.107595,14,72.338417
-0.913509,17,72.393066
-0.872757,14,72.437366
-1.005679,13,72.478954
-0.546065,14,72.875859
-1.133727,14,72.921762
-1.006575,15,72.97212
-1.071755,14,73.021611
-1.016287,14,73.068634
-1.071807,15,73.115549
-1.103286,16,73.167149
-0.833615,14,73.572321
-0.937245,14,73.615923
-0.803815,15,73.66115
-0.751281,10,73.719449
-0.31357,13,73.760975
-0.206906,11,73.796348
-0.682615,14,73.838834
-0.534119,16,74.319651
-0.585613,15,74.365237
-0.377873,13,74.41593
-0.704441,13,74.500522
-0.702435,14,74.56839
-0.67099,13,74.623485
-0.462892,15,74.677321
-0.502139,13,74.735425
-0.985449,12,75.33301
-0.933035,13,75.406874
-0.891658,11,75.461898
-0.807191,17,75.535051
-0.791665,10,75.584301
-0.846341,14,75.649798
-0.827958,13,75.726727
-0.767085,15,76.624972
-0.778302,14,76.689518
-0.826197,15,76.749822
-0.78369,15,76.811323
-0.872707,13,76.855107
-0.996249,13,76.913465
-0.94647,14,76.98099
-0.69758,15,77.72177
-0.7335,12,77.783712
-0.917387,14,77.857884
-0.788458,15,78.026602
-0.854276,10,78.125378
-0.456865,17,78.261741
-0.787736,12,78.325847
-0.560416,15,78.37891
-0.846866,11,79.37711
-0.87694,14,79.426618
-1.064078,14,79.478226
-0.981014,13,79.539345
-0.870632,16,79.635802
-0.995239,15,79.711797
-0.954115,13,79.786595
-0.589267,14,80.916653
-0.888665,16,80.97818
-0.647391,16,81.052804
-0.728938,15,81.153889
-0.792806,11,81.218404
-0.594007,12,81.262201
-0.782376,15,81.313317
-0.785487,17,81.877217
-0.787527,15,81.982358
-0.873604,15,82.034545
-1.001019,14,82.082787
-0.745327,13,82.134136
-0.837618,17,82.217033
-0.850487,13,82.280152
-0.89602,17,83.312846
-0.896387,13,83.447426
-0.848002,12,83.547734
-0.840375,12,83.617763
-1.132839,12,83.688224
-0.912988,12,83.739456
-0.731195,13,83.784624
-0.852704,17,84.296505
-0.892438,16,84.352925
-0.715698,15,84.405903
-0.91488,16,84.526009
-0.951264,16,84.646429
-0.728133,14,84.715821
-0.970801,15,84.768227
-1.076018,17,85.292245
