# {"t_start": 1562337504.3665764, "env_id": "EVCharging-v2"} 
r,l,t
-2.984774,12,2.596935
-6.265195,14,2.674239
-13.233522,14,2.751698
-8.191579,14,2.823698
-7.629513,15,2.880732
-9.895974,15,2.932767
-6.004839,13,2.977805
-11.21366,15,5.1524
-29.574508,13,5.198301
-41.64859,15,5.24895
-31.444686,13,5.293467
-41.812803,15,5.344962
-28.826986,15,5.400446
-25.062814,14,5.447648
-2.249483,14,6.15759
-2.139793,11,6.198101
-2.722618,13,6.243842
-0.978837,14,6.290534
-1.811538,13,6.335407
-0.852112,13,6.384012
-0.359754,15,6.499287
-1.465642,12,7.493377
-50.497705,15,7.569509
-51.731224,16,7.709676
-28.529882,14,7.824728
-33.365731,15,7.916476
-32.040459,14,7.965718
-30.109874,14,8.01553
-33.276555,13,8.655518
-40.519035,13,8.727351
-38.700159,13,8.797733
-39.160417,13,8.869584
-29.41281,13,8.966229
-59.500253,15,9.10132
-45.982814,13,9.212102
-60.052165,15,9.32065
-5.317001,14,9.986633
-5.180059,15,10.039392
-5.765749,14,10.087361
-3.284387,13,10.133307
-2.820975,13,10.177948
-15.846278,17,10.244397
-4.506708,12,10.288037
-11.478458,16,10.843143
-40.265318,15,10.899787
-39.095043,13,10.966526
-37.044525,14,11.045975
-34.010296,13,11.119524
-27.408093,12,11.181934
-31.71582,13,11.254683
-1.670034,11,11.912635
-0.296719,15,11.997293
-1.129603,15,12.081115
-0.526317,14,12.151167
-0.889863,17,12.22538
-0.974503,13,12.283967
-0.434682,14,12.353004
-3.307489,17,12.795489
-15.803144,14,12.844519
-22.166816,14,12.892805
-19.239682,14,12.93675
-13.572081,16,12.984543
-11.428165,12,13.023055
-11.916749,13,13.063242
-6.002843,12,13.451439
-14.009355,14,13.49375
-25.389495,14,13.536346
-24.447639,15,13.581996
-13.232352,15,13.62814
-11.083493,12,13.666195
-19.63193,14,13.710326
-28.946933,15,14.276248
-28.734569,12,14.333443
-46.892592,14,14.401566
-47.871438,15,14.46005
-24.51324,12,14.532125
-39.165923,14,14.639762
-29.353557,11,14.686832
-38.841292,13,14.736068
-20.159273,12,15.163155
-1.024198,16,15.216643
-1.475908,13,15.264471
-0.908891,17,15.326578
-1.37549,12,15.369064
-1.802501,16,15.426958
-1.760345,14,15.473453
-3.08607,14,15.874388
-1.144506,15,15.922781
-1.033606,16,15.970654
-2.214211,16,16.018821
-0.64125,17,16.069053
-1.384627,14,16.112321
-1.676213,13,16.162254
-2.761902,14,16.565972
-2.172595,13,16.608492
-3.161162,14,16.680788
-2.080906,15,16.738006
-3.882666,14,16.799615
-3.36144,16,16.859019
-3.722608,13,16.910099
-3.947227,15,17.50011
-2.55688,15,17.564889
-2.442806,12,17.60588
-2.322847,13,17.646846
-3.304548,15,17.692778
-3.904748,14,17.736164
-2.356468,15,17.806514
-1.633035,14,18.260707
-0.633685,15,18.305895
-0.319947,16,18.353986
-0.458883,13,18.399154
-0.375654,12,18.439782
-0.443171,14,18.506026
-0.371959,13,18.577657
-0.483175,10,19.22332
-0.653416,13,19.353185
-0.564271,13,19.443345
-0.672363,14,19.494025
-0.747916,14,19.538373
-0.801872,17,19.590183
-0.469679,13,19.631965
-0.527382,13,19.676631
-6.142487,14,20.216751
-6.463645,13,20.272575
-6.241313,14,20.35866
-4.171698,13,20.451561
-6.838565,14,20.579217
-7.749425,16,20.700933
-4.324078,14,20.791534
-1.191586,12,21.820423
-1.668012,13,21.924636
-1.537752,15,22.045978
-1.620352,14,22.134486
-1.581983,15,22.188577
-1.555482,15,22.242855
-1.608985,13,22.304239
-10.296962,14,23.330853
-5.975021,14,23.460996
-7.798244,16,23.582574
-8.124414,14,23.657783
-6.769273,14,23.779959
-8.541136,16,23.927945
-7.285275,14,24.029641
-1.47854,14,25.407469
-1.193906,15,25.534808
-1.378738,13,25.645935
-1.024997,13,25.698105
-1.154354,16,25.825442
-1.452891,14,25.912514
-1.477786,12,25.958727
-1.377682,14,26.435964
-1.401983,14,26.486884
-1.190137,13,26.535214
-1.24264,13,26.580695
-1.733907,15,26.633054
-1.309406,15,26.705059
-1.267676,14,26.780769
-1.326388,12,27.340579
-1.610152,15,27.417278
-1.281835,15,27.493401
-1.493567,15,27.58177
-1.288295,13,27.630311
-1.528765,15,27.680544
-1.70993,14,27.728329
-2.005534,15,28.26763
-1.768294,13,28.325019
-1.541364,12,28.38339
-1.934076,13,28.454575
-1.766581,15,28.549085
-1.506203,15,28.619418
-1.768252,16,28.673191
-0.982056,15,29.160578
-1.877823,14,29.207515
-1.560516,13,29.251697
-1.394834,12,29.293238
-1.633378,15,29.359621
-0.966307,13,29.407353
-1.206368,17,29.463793
-1.160432,12,29.963427
-6.54647,10,30.001106
-8.82835,13,30.049554
-5.958455,13,30.094297
-9.730094,14,30.14127
-10.22856,14,30.187723
-10.512277,15,30.236881
-10.277912,15,30.285219
-0.880188,15,30.787007
-1.029823,15,30.835407
-1.027506,14,30.881503
-0.977697,13,30.925807
-0.904107,11,30.966062
-1.110792,18,31.029263
-0.920712,15,31.080365
-1.225448,16,31.583732
-1.216132,10,31.619625
-1.126377,15,31.66908
-1.086492,14,31.733497
-1.155307,15,31.802065
-0.9602,15,31.862849
-1.157167,12,31.916784
-1.622137,15,32.623774
-2.166859,12,32.697923
-2.196086,15,32.79352
-2.173796,15,32.903464
-1.698334,12,32.989155
-1.767661,15,33.083612
-2.079248,13,33.130371
-1.353879,16,33.946181
-0.6129,11,34.015704
-0.748838,16,34.101691
-0.701659,14,34.160554
-0.419239,14,34.223047
-0.328571,16,34.293763
-0.632318,16,34.374752
-0.698791,14,34.951099
-0.558807,14,35.002774
-0.535387,13,35.05228
-0.606196,12,35.099909
-0.556888,14,35.150531
-0.644105,14,35.203039
-0.539678,14,35.253659
-0.263133,14,36.104799
-0.608748,14,36.205547
-1.579925,12,36.278367
-1.253624,13,36.348769
-8.00181,17,36.452389
-0.933228,13,36.538682
-1.142198,15,36.631449
-1.371592,14,36.706958
-1.715679,14,37.264114
-1.898432,14,37.315307
-3.062839,16,37.372012
-1.707207,15,37.45086
-2.432378,14,37.521232
-2.075036,13,37.59454
-3.22971,13,37.688876
-0.637026,13,38.294971
-0.858605,14,38.344882
-0.908295,14,38.395555
-0.763252,12,38.439366
-0.696938,13,38.484206
-0.884562,14,38.53201
-0.827202,13,38.59333
-0.705932,14,39.109963
-0.588667,13,39.157536
-0.497247,15,39.21782
-0.637391,13,39.264154
-0.570614,15,39.314656
-0.61472,12,39.382197
-0.67903,13,39.443465
-0.721478,16,39.94424
-0.632483,14,39.990198
-0.665704,14,40.040841
-0.86533,15,40.095605
-0.634158,14,40.165932
-0.77387,13,40.212287
-0.714253,14,40.261056
-0.814001,14,40.762092
-0.909914,12,40.80329
-0.743359,11,40.841501
-0.83608,14,40.891055
-0.883917,15,40.943188
-0.609458,15,40.993158
-0.761969,15,41.042114
-0.625791,11,41.084013
-1.156468,15,41.587043
-1.050894,14,41.636945
-1.234292,14,41.685662
-0.963954,15,41.747624
-1.143287,14,41.806337
-0.921688,14,41.861528
-0.988828,16,41.920023
-1.089186,13,42.411729
-0.888173,14,42.461093
-1.393182,14,42.507666
-1.167936,15,42.556017
-1.353758,14,42.611717
-1.324964,16,42.690238
-1.231038,14,42.736835
-0.833297,14,43.225886
-0.768996,14,43.284229
-0.876001,14,43.331877
-0.823092,15,43.380773
-0.926673,15,43.432785
-0.963697,14,43.480118
-0.73027,14,43.526543
-1.451614,14,44.050489
-1.362923,13,44.102343
-1.600882,14,44.150216
-1.268252,15,44.201486
-1.195656,17,44.260693
-1.311144,13,44.304197
-1.190639,16,44.356205
-1.329974,17,44.901348
-1.067909,13,44.955957
-1.195448,15,45.006437
-0.790393,16,45.06064
-1.252914,15,45.117694
-1.135604,13,45.164507
-1.027818,15,45.664
-1.15389,12,45.708146
-0.838806,13,45.751116
-0.883249,13,45.794419
-1.107898,14,45.840526
-0.916312,15,45.891193
-1.039206,14,45.9407
-0.883743,15,45.990258
-0.954081,14,46.491347
-1.1001,15,46.540442
-0.833528,16,46.59503
-1.061133,16,46.650311
-1.394171,15,46.700691
-0.880501,11,46.7399
-1.392206,13,46.783642
-1.347773,15,47.343311
-1.015435,14,47.39187
-1.144643,13,47.438315
-1.159046,14,47.48478
-1.1397,15,47.533451
-1.082523,14,47.627009
-1.255914,13,47.700142
-1.406927,13,48.187214
-2.080692,15,48.237439
-2.148839,15,48.28623
-2.030678,14,48.332745
-2.383311,15,48.385359
-2.283287,14,48.439958
-2.436794,14,48.510304
-1.406544,12,49.224442
-0.59412,12,49.267593
-0.942357,14,49.323997
-0.887208,15,49.396495
-0.320527,15,49.451239
-0.84727,15,49.562341
-0.76305,16,49.681404
-0.603397,14,50.237738
-0.515939,15,50.305715
-0.955166,15,50.378541
-0.741283,13,50.467201
-0.890403,15,50.537414
-0.561469,14,50.598481
-0.844204,13,50.664411
-0.825226,14,51.319281
-0.864667,15,51.393415
-0.867468,11,51.437808
-1.16267,13,51.482757
-0.89639,15,51.533235
-0.813627,13,51.578421
-1.044446,13,51.623493
-0.738995,16,52.174198
-1.24557,15,52.290285
-0.877221,14,52.357955
-0.821555,12,52.415909
-1.270815,16,52.471373
-1.022641,13,52.51644
-1.366029,14,52.572459
-0.337832,13,53.138538
-0.325375,12,53.181026
-0.770648,13,53.229212
-0.456267,13,53.277285
-0.594455,15,53.347934
-0.575437,14,53.436962
-0.463842,13,53.506397
-0.486337,11,53.567001
-0.873383,12,54.120202
-0.67672,15,54.170769
-0.759483,15,54.221039
-0.409064,14,54.268359
-0.585147,11,54.308972
-0.723961,16,54.361524
-0.255494,13,54.430526
-0.731786,17,55.225598
-0.233674,14,55.314846
