# {"t_start": 1562337504.3654656, "env_id": "EVCharging-v2"} 
r,l,t
-2.984774,12,2.591289
-6.265195,14,2.667381
-13.233522,14,2.745645
-8.191579,14,2.819115
-7.629513,15,2.877291
-9.895974,15,2.92937
-6.004839,13,2.974452
-11.21366,15,5.149046
-29.574508,13,5.195053
-41.64859,15,5.245619
-31.444686,13,5.290241
-41.812803,15,5.341663
-28.826986,15,5.397043
-25.062814,14,5.44445
-2.249483,14,6.15377
-2.139793,11,6.194539
-2.722618,13,6.240628
-0.978837,14,6.287138
-1.811538,13,6.3318
-0.852112,13,6.3805
-0.359754,15,6.489431
-1.465642,12,7.490151
-50.497705,15,7.566033
-51.731224,16,7.679975
-28.529882,14,7.814409
-33.365731,15,7.913056
-32.040459,14,7.962305
-30.109874,14,8.012163
-33.276555,13,8.648788
-40.519035,13,8.721522
-38.700159,13,8.79215
-39.160417,13,8.861602
-29.41281,13,8.955176
-59.500253,15,9.088792
-45.982814,13,9.205376
-60.052165,15,9.315248
-5.317001,14,9.982942
-5.180059,15,10.035743
-5.765749,14,10.083972
-3.284387,13,10.129936
-2.820975,13,10.17464
-15.846278,17,10.240726
-4.506708,12,10.284561
-11.478458,16,10.839708
-40.265318,15,10.895882
-39.095043,13,10.960851
-37.044525,14,11.040384
-34.010296,13,11.113999
-27.408093,12,11.175925
-31.71582,13,11.248667
-1.670034,11,11.907128
-0.296719,15,11.991486
-1.129603,15,12.075397
-0.526317,14,12.146457
-0.889863,17,12.220592
-0.974503,13,12.279408
-0.434682,14,12.348414
-3.307489,17,12.768277
-15.803144,14,12.841368
-22.166816,14,12.889646
-19.239682,14,12.9338
-13.572081,16,12.981581
-11.428165,12,13.019931
-11.916749,13,13.060304
-6.002843,12,13.448503
-14.009355,14,13.49082
-25.389495,14,13.533343
-24.447639,15,13.579074
-13.232352,15,13.625171
-11.083493,12,13.663261
-19.63193,14,13.70735
-28.946933,15,14.270518
-28.734569,12,14.329905
-46.892592,14,14.398284
-47.871438,15,14.454638
-24.51324,12,14.525582
-39.165923,14,14.631229
-29.353557,11,14.683563
-38.841292,13,14.73074
-20.159273,12,15.160117
-1.024198,16,15.213423
-1.475908,13,15.261215
-0.908891,17,15.322619
-1.37549,12,15.36587
-1.802501,16,15.422794
-1.760345,14,15.47024
-3.08607,14,15.870095
-1.144506,15,15.919732
-1.033606,16,15.967759
-2.214211,16,16.015918
-0.64125,17,16.066083
-1.384627,14,16.109235
-1.676213,13,16.15878
-2.761902,14,16.562964
-2.172595,13,16.604935
-3.161162,14,16.677424
-2.080906,15,16.734127
-3.882666,14,16.796289
-3.36144,16,16.854623
-3.722608,13,16.906622
-3.947227,15,17.496804
-2.55688,15,17.561664
-2.442806,12,17.602492
-2.322847,13,17.643916
-3.304548,15,17.689797
-3.904748,14,17.733225
-2.356468,15,17.778703
-1.633035,14,18.257779
-0.633685,15,18.302749
-0.319947,16,18.351054
-0.458883,13,18.395817
-0.375654,12,18.43671
-0.443171,14,18.498757
-0.371959,13,18.573345
-0.483175,10,19.21953
-0.653416,13,19.346035
-0.564271,13,19.438427
-0.672363,14,19.490731
-0.747916,14,19.535312
-0.801872,17,19.587071
-0.469679,13,19.628772
-0.527382,13,19.673529
-6.142487,14,20.213417
-6.463645,13,20.267894
-6.241313,14,20.350097
-4.171698,13,20.4445
-6.838565,14,20.566912
-7.749425,16,20.693068
-4.324078,14,20.78572
-1.191586,12,21.809682
-1.668012,13,21.911716
-1.537752,15,22.033456
-1.620352,14,22.130717
-1.581983,15,22.184921
-1.555482,15,22.238793
-1.608985,13,22.300055
-10.296962,14,23.323375
-5.975021,14,23.452274
-7.798244,16,23.574935
-8.124414,14,23.65223
-6.769273,14,23.769241
-8.541136,16,23.918134
-7.285275,14,24.026044
-1.47854,14,25.399217
-1.193906,15,25.525079
-1.378738,13,25.640294
-1.024997,13,25.694248
-1.154354,16,25.813958
-1.452891,14,25.907902
-1.477786,12,25.955198
-1.377682,14,26.432723
-1.401983,14,26.483544
-1.190137,13,26.531789
-1.24264,13,26.57718
-1.733907,15,26.629411
-1.309406,15,26.6993
-1.267676,14,26.775077
-1.326388,12,27.312703
-1.610152,15,27.412499
-1.281835,15,27.487686
-1.493567,15,27.57712
-1.288295,13,27.62704
-1.528765,15,27.677214
-1.70993,14,27.72499
-2.005534,15,28.263931
-1.768294,13,28.320233
-1.541364,12,28.378593
-1.934076,13,28.448678
-1.766581,15,28.54285
-1.506203,15,28.615825
-1.768252,16,28.669748
-0.982056,15,29.157341
-1.877823,14,29.204161
-1.560516,13,29.248301
-1.394834,12,29.290022
-1.633378,15,29.356116
-0.966307,13,29.40312
-1.206368,17,29.46062
-1.160432,12,29.960252
-6.54647,10,29.997765
-8.82835,13,30.046066
-5.958455,13,30.091079
-9.730094,14,30.137976
-10.22856,14,30.184421
-10.512277,15,30.233585
-10.277912,15,30.282027
-0.880188,15,30.783909
-1.029823,15,30.832212
-1.027506,14,30.878284
-0.977697,13,30.922645
-0.904107,11,30.962885
-1.110792,18,31.0258
-0.920712,15,31.077148
-1.225448,16,31.580546
-1.216132,10,31.616498
-1.126377,15,31.665923
-1.086492,14,31.726195
-1.155307,15,31.798143
-0.9602,15,31.858913
-1.157167,12,31.91306
-1.622137,15,32.615996
-2.166859,12,32.693678
-2.196086,15,32.784815
-2.173796,15,32.894208
-1.698334,12,32.981713
-1.767661,15,33.078201
-2.079248,13,33.126894
-1.353879,16,33.936861
-0.6129,11,34.008894
-0.748838,16,34.097988
-0.701659,14,34.156791
-0.419239,14,34.218103
-0.328571,16,34.289573
-0.632318,16,34.370963
-0.698791,14,34.947545
-0.558807,14,34.999123
-0.535387,13,35.048535
-0.606196,12,35.096627
-0.556888,14,35.147007
-0.644105,14,35.19945
-0.539678,14,35.25024
-0.263133,14,36.093697
-0.608748,14,36.198788
-1.579925,12,36.272882
-1.253624,13,36.342785
-8.00181,17,36.446387
-0.933228,13,36.533695
-1.142198,15,36.626119
-1.371592,14,36.703254
-1.715679,14,37.260129
-1.898432,14,37.311923
-3.062839,16,37.36776
-1.707207,15,37.445158
-2.432378,14,37.516277
-2.075036,13,37.58798
-3.22971,13,37.658655
-0.637026,13,38.291298
-0.858605,14,38.341486
-0.908295,14,38.392041
-0.763252,12,38.435808
-0.696938,13,38.480839
-0.884562,14,38.528588
-0.827202,13,38.589343
-0.705932,14,39.106214
-0.588667,13,39.153135
-0.497247,15,39.214539
-0.637391,13,39.260824
-0.570614,15,39.311385
-0.61472,12,39.377982
-0.67903,13,39.439461
-0.721478,16,39.941
-0.632483,14,39.986894
-0.665704,14,40.037262
-0.86533,15,40.090901
-0.634158,14,40.161124
-0.77387,13,40.208946
-0.714253,14,40.257715
-0.814001,14,40.75894
-0.909914,12,40.800045
-0.743359,11,40.837962
-0.83608,14,40.886893
-0.883917,15,40.939861
-0.609458,15,40.989892
-0.761969,15,41.038821
-0.625791,11,41.080637
-1.156468,15,41.583504
-1.050894,14,41.633499
-1.234292,14,41.682343
-0.963954,15,41.743901
-1.143287,14,41.801393
-0.921688,14,41.858088
-0.988828,16,41.916556
-1.089186,13,42.408163
-0.888173,14,42.457673
-1.393182,14,42.504285
-1.167936,15,42.552628
-1.353758,14,42.607862
-1.324964,16,42.663698
-1.231038,14,42.733654
-0.833297,14,43.22263
-0.768996,14,43.280902
-0.876001,14,43.32869
-0.823092,15,43.377369
-0.926673,15,43.429276
-0.963697,14,43.476946
-0.73027,14,43.523382
-1.451614,14,44.047152
-1.362923,13,44.098623
-1.600882,14,44.146906
-1.268252,15,44.198159
