# {"t_start": 1562337504.3670712, "env_id": "EVCharging-v2"} 
r,l,t
-2.984774,12,2.599894
-6.265195,14,2.676737
-13.233522,14,2.754874
-8.191579,14,2.825696
-7.629513,15,2.882391
-9.895974,15,2.934401
-6.004839,13,2.979329
-11.21366,15,5.15411
-29.574508,13,5.199961
-41.64859,15,5.250611
-31.444686,13,5.295058
-41.812803,15,5.346657
-28.826986,15,5.402112
-25.062814,14,5.449243
-2.249483,14,6.159379
-2.139793,11,6.199909
-2.722618,13,6.245459
-0.978837,14,6.292172
-1.811538,13,6.337221
-0.852112,13,6.385689
-0.359754,15,6.503319
-1.465642,12,7.495041
-50.497705,15,7.571415
-51.731224,16,7.716956
-28.529882,14,7.833559
-33.365731,15,7.918321
-32.040459,14,7.967403
-30.109874,14,8.017132
-33.276555,13,8.660602
-40.519035,13,8.730797
-38.700159,13,8.800835
-39.160417,13,8.872581
-29.41281,13,8.970046
-59.500253,15,9.106801
-45.982814,13,9.216246
-60.052165,15,9.324251
-5.317001,14,9.988642
-5.180059,15,10.041067
-5.765749,14,10.089112
-3.284387,13,10.134982
-2.820975,13,10.179675
-15.846278,17,10.246199
-4.506708,12,10.289687
-11.478458,16,10.844877
-40.265318,15,10.901736
-39.095043,13,10.969282
-37.044525,14,11.048679
-34.010296,13,11.12233
-27.408093,12,11.184609
-31.71582,13,11.257604
-1.670034,11,11.915277
-0.296719,15,12.000335
-1.129603,15,12.083892
-0.526317,14,12.153553
-0.889863,17,12.227691
-0.974503,13,12.286162
-0.434682,14,12.35488
-3.307489,17,12.797963
-15.803144,14,12.846057
-22.166816,14,12.894387
-19.239682,14,12.938303
-13.572081,16,12.985939
-11.428165,12,13.024463
-11.916749,13,13.06464
-6.002843,12,13.452827
-14.009355,14,13.495173
-25.389495,14,13.537866
-24.447639,15,13.583488
-13.232352,15,13.629533
-11.083493,12,13.667623
-19.63193,14,13.711752
-28.946933,15,14.278223
-28.734569,12,14.335123
-46.892592,14,14.403455
-47.871438,15,14.461959
-24.51324,12,14.535576
-39.165923,14,14.642647
-29.353557,11,14.689185
-38.841292,13,14.739346
-20.159273,12,15.164613
-1.024198,16,15.218174
-1.475908,13,15.266007
-0.908891,17,15.328255
-1.37549,12,15.371596
-1.802501,16,15.428821
-1.760345,14,15.474916
-3.08607,14,15.876729
-1.144506,15,15.924227
-1.033606,16,15.972175
-2.214211,16,16.020268
-0.64125,17,16.070471
-1.384627,14,16.113751
-1.676213,13,16.163852
-2.761902,14,16.567421
-2.172595,13,16.610028
-3.161162,14,16.682421
-2.080906,15,16.740204
-3.882666,14,16.801213
-3.36144,16,16.860559
-3.722608,13,16.911682
-3.947227,15,17.502287
-2.55688,15,17.566523
-2.442806,12,17.607482
-2.322847,13,17.648264
-3.304548,15,17.694217
-3.904748,14,17.737643
-2.356468,15,17.808159
-1.633035,14,18.26214
-0.633685,15,18.307327
-0.319947,16,18.355615
-0.458883,13,18.400726
-0.375654,12,18.441272
-0.443171,14,18.509559
-0.371959,13,18.580246
-0.483175,10,19.225302
-0.653416,13,19.356589
-0.564271,13,19.447294
-0.672363,14,19.495568
-0.747916,14,19.540035
-0.801872,17,19.591707
-0.469679,13,19.633425
-0.527382,13,19.678099
-6.142487,14,20.218469
-6.463645,13,20.275876
-6.241313,14,20.36237
-4.171698,13,20.46079
-6.838565,14,20.583526
-7.749425,16,20.706005
-4.324078,14,20.794483
-1.191586,12,21.823649
-1.668012,13,21.928928
-1.537752,15,22.051161
-1.620352,14,22.136246
-1.581983,15,22.190351
-1.555482,15,22.244794
-1.608985,13,22.306307
-10.296962,14,23.335059
-5.975021,14,23.463582
-7.798244,16,23.585747
-8.124414,14,23.660438
